Product;Initial_stock;Reorder_Point; Unit_cost ;Lead_time
20in Monitor;10750;500; $220,00 ;5-7 days
27in 4K Gaming Monitor;10750;500; $400,00 ;5-7 days
27in FHD Monitor;10750;500; $450,00 ;5-7 days
34in Ultrawide Monitor;10750;500; $320,00 ;5-7 days
AA Batteries (4-pack);10750;500; $1.200,00 ;2-3 days
AAA Batteries (4-pack);10750;500; $1.250,00 ;2-3 days
Apple Airpods Headphones;10750;500; $900,00 ;2-3 days
Bose SoundSport Headphones;10750;500; $825,00 ;5 days
Flatscreen TV;10750;500; $300,00 ;5-7 days
Google Phone;10750;500; $300,00 ;2-3 days
iPhone;10750;500; $410,00 ;2-3 days
LG Dryer;10750;500; $35,00 ;2-3 days
LG Washing Machine;10750;500; $35,00 ;5-7 days
Lightning Charging Cable;10750;500; $1.200,00 ;2-3 days
Macbook Pro Laptop;10750;500; $250,00 ;2-3 days
Product;10750;500; $20,00 ;2-3 days
ThinkPad Laptop;10750;500; $225,00 ;2-3 days
USB-C Charging Cable;10750;500; $1.200,00 ;2-3 days
Vareebadd Phone;10750;500; $110,00 ;2-3 days
Wired Headphones;10750;500; $1.000,00 ;2-3 days
